prompt,code
Light Chaser LEDs,"int leds[] = {2, 3, 4, 5, 6};

void setup() {
  for (int i = 0; i < 5; i++) {
    pinMode(leds[i], OUTPUT);
  }
}

void loop() {
  for (int i = 0; i < 5; i++) {
    digitalWrite(leds[i], HIGH);
    delay(100);
    digitalWrite(leds[i], LOW);
  }
}"
Analog Joystick,"const int xPin = A0;
const int yPin = A1;

void setup() {
  Serial.begin(9600);
}

void loop() {
  int xVal = analogRead(xPin);
  int yVal = analogRead(yPin);
  Serial.print(""X: ""); Serial.print(xVal);
  Serial.print("" | Y: ""); Serial.println(yVal);
  delay(200);
}"
Servo Motor Control (with Potentiometer),"#include <Servo.h>

Servo myServo;
int potPin = A0;

void setup() {
  myServo.attach(9);
}

void loop() {
  int potVal = analogRead(potPin);
  int angle = map(potVal, 0, 1023, 0, 180);
  myServo.write(angle);
  delay(15);
}"
Push Button LED Toggle,"const int buttonPin = 2;
const int ledPin = 13;
bool ledState = false;
bool lastButtonState = LOW;

void setup() {
  pinMode(buttonPin, INPUT);
  pinMode(ledPin, OUTPUT);
}

void loop() {
  bool currentState = digitalRead(buttonPin);
  if (currentState == HIGH && lastButtonState == LOW) {
    ledState = !ledState;
    digitalWrite(ledPin, ledState);
    delay(200); // Debounce
  }
  lastButtonState = currentState;
}"
Temperature Sensor (LM35),"const int tempPin = A0;

void setup() {
  Serial.begin(9600);
}

void loop() {
  int rawValue = analogRead(tempPin);
  float voltage = rawValue * 5.0 / 1023.0;
  float temperature = voltage * 100; // LM35 gives 10mV per °C
  Serial.print(""Temperature: "");
  Serial.print(temperature);
  Serial.println("" °C"");
  delay(1000);
}"
Buzzer with Tone,"const int buzzerPin = 8;

void setup() {
  pinMode(buzzerPin, OUTPUT);
}

void loop() {
  tone(buzzerPin, 1000); // 1kHz
  delay(500);
  noTone(buzzerPin);
  delay(500);
}"
Ultrasonic Sensor with LED Alert,"const int trigPin = 9;
const int echoPin = 10;
const int ledPin = 13;

void setup() {
  pinMode(trigPin, OUTPUT);
  pinMode(echoPin, INPUT);
  pinMode(ledPin, OUTPUT);
  Serial.begin(9600);
}

void loop() {
  digitalWrite(trigPin, LOW);
  delayMicroseconds(2);
  digitalWrite(trigPin, HIGH);
  delayMicroseconds(10);
  digitalWrite(trigPin, LOW);

  long duration = pulseIn(echoPin, HIGH);
  float distance = duration * 0.034 / 2;

  Serial.print(""Distance: "");
  Serial.print(distance);
  Serial.println("" cm"");

  if (distance < 20) {
    digitalWrite(ledPin, HIGH);
  } else {
    digitalWrite(ledPin, LOW);
  }

  delay(500);
}"
Heartbeat Sensor,"const int pulsePin = A0;

void setup() {
  Serial.begin(9600);
}

void loop() {
  int signal = analogRead(pulsePin);
  Serial.println(signal);
  delay(20);
}"
Flame Sensor,"const int flamePin = 2;
const int ledPin = 13;

void setup() {
  pinMode(flamePin, INPUT);
  pinMode(ledPin, OUTPUT);
  Serial.begin(9600);
}

void loop() {
  int state = digitalRead(flamePin);
  if (state == LOW) {
    Serial.println(""Flame Detected!"");
    digitalWrite(ledPin, HIGH);
  } else {
    digitalWrite(ledPin, LOW);
  }
  delay(500);
}"
4-Digit 7-Segment Display (TM1637),"#include <TM1637Display.h>

#define CLK 2
#define DIO 3

TM1637Display display(CLK, DIO);

void setup() {
  display.setBrightness(0x0f);
}

void loop() {
  for (int i = 0; i < 10000; i++) {
    display.showNumberDec(i);
    delay(200);
  }
}"
Capacitive Touch Sensor (TTP223),"const int touchPin = 4;
const int ledPin = 13;

void setup() {
  pinMode(touchPin, INPUT);
  pinMode(ledPin, OUTPUT);
}

void loop() {
  if (digitalRead(touchPin) == HIGH) {
    digitalWrite(ledPin, HIGH);
  } else {
    digitalWrite(ledPin, LOW);
  }
}"
Photodiode Light Detector,"const int lightPin = A0;

void setup() {
  Serial.begin(9600);
}

void loop() {
  int lightValue = analogRead(lightPin);
  Serial.print(""Light Intensity: "");
  Serial.println(lightValue);
  delay(500);
}"
Rain Sensor,"const int rainPin = A0;

void setup() {
  Serial.begin(9600);
}

void loop() {
  int rainValue = analogRead(rainPin);
  Serial.print(""Rain Sensor Value: "");
  Serial.println(rainValue);
  delay(1000);
}"
Relay Module Control (for Lamp),"const int relayPin = 7;

void setup() {
  pinMode(relayPin, OUTPUT);
}

void loop() {
  digitalWrite(relayPin, HIGH);  // Turn ON
  delay(2000);
  digitalWrite(relayPin, LOW);   // Turn OFF
  delay(2000);
}"
Smoke Sensor (MQ-135),"const int smokePin = A0;

void setup() {
  Serial.begin(9600);
}

void loop() {
  int level = analogRead(smokePin);
  Serial.print(""Air Quality Level: "");
  Serial.println(level);
  delay(1000);
}"
Motion Alert using PIR + Buzzer,"const int pirPin = 2;
const int buzzer = 8;

void setup() {
  pinMode(pirPin, INPUT);
  pinMode(buzzer, OUTPUT);
}

void loop() {
  if (digitalRead(pirPin) == HIGH) {
    tone(buzzer, 1000);
    delay(1000);
    noTone(buzzer);
  }
}"
Bluetooth-Controlled LED,"char incoming;
void setup() {
  Serial.begin(9600);
  pinMode(13, OUTPUT);
}

void loop() {
  if (Serial.available()) {
    incoming = Serial.read();
    if (incoming == '1') digitalWrite(13, HIGH);
    else if (incoming == '0') digitalWrite(13, LOW);
  }
}"
MQ-7 CO Gas Sensor,"const int coPin = A0;

void setup() {
  Serial.begin(9600);
}

void loop() {
  int level = analogRead(coPin);
  Serial.print(""CO Level: "");
  Serial.println(level);
  delay(1000);
}"
Soil Moisture Controlled Pump (via Relay),"const int soilPin = A0;
const int relayPin = 7;

void setup() {
  pinMode(relayPin, OUTPUT);
  Serial.begin(9600);
}

void loop() {
  int value = analogRead(soilPin);
  Serial.print(""Moisture: "");
  Serial.println(value);

  if (value < 500) {
    digitalWrite(relayPin, HIGH); // Turn pump ON
  } else {
    digitalWrite(relayPin, LOW);  // Turn pump OFF
  }
  delay(1000);
}"
Tilt Sensor,"const int tiltPin = 2;
const int ledPin = 13;

void setup() {
  pinMode(tiltPin, INPUT);
  pinMode(ledPin, OUTPUT);
}

void loop() {
  int state = digitalRead(tiltPin);
  digitalWrite(ledPin, state);
}"
16x2 LCD with I2C,"#include <Wire.h>
#include <LiquidCrystal_I2C.h>

LiquidCrystal_I2C lcd(0x27, 16, 2);

void setup() {
  lcd.begin();
  lcd.backlight();
  lcd.print(""Hello, LCD!"");
}

void loop() {
  lcd.setCursor(0, 1);
  lcd.print(millis() / 1000);
  delay(1000);
}"
Pulse Width Modulation (PWM) LED Fading,"const int ledPin = 9;

void setup() {
  pinMode(ledPin, OUTPUT);
}

void loop() {
  for (int brightness = 0; brightness <= 255; brightness++) {
    analogWrite(ledPin, brightness);
    delay(10);
  }
  for (int brightness = 255; brightness >= 0; brightness--) {
    analogWrite(ledPin, brightness);
    delay(10);
  }
}"
IR Remote Controlled LED,"#include <IRremote.h>

const int recv_pin = 11;
IRrecv irrecv(recv_pin);
decode_results results;
const int ledPin = 13;

void setup() {
  Serial.begin(9600);
  irrecv.enableIRIn();
  pinMode(ledPin, OUTPUT);
}

void loop() {
  if (irrecv.decode(&results)) {
    Serial.println(results.value, HEX);
    if (results.value == 0xFF30CF) {
      digitalWrite(ledPin, HIGH);
    } else if (results.value == 0xFF18E7) {
      digitalWrite(ledPin, LOW);
    }
    irrecv.resume();
  }
}"
Joystick Module (2-Axis),"const int xPin = A0;
const int yPin = A1;

void setup() {
  Serial.begin(9600);
}

void loop() {
  int xVal = analogRead(xPin);
  int yVal = analogRead(yPin);

  Serial.print(""X: "");
  Serial.print(xVal);
  Serial.print("" | Y: "");
  Serial.println(yVal);
  delay(500);
}"
MQ-2 Smoke & LPG Gas Sensor,"const int mq2Pin = A0;

void setup() {
  Serial.begin(9600);
}

void loop() {
  int value = analogRead(mq2Pin);
  Serial.print(""MQ-2 Sensor Value: "");
  Serial.println(value);
  delay(1000);
}"
Water Flow Sensor (YF-S201),"volatile int flowCount;
const int flowPin = 2;

void setup() {
  pinMode(flowPin, INPUT);
  attachInterrupt(digitalPinToInterrupt(flowPin), countFlow, RISING);
  Serial.begin(9600);
}

void loop() {
  flowCount = 0;
  interrupts();
  delay(1000);
  noInterrupts();
  float flowRate = flowCount / 7.5; // adjust based on sensor
  Serial.print(""Flow Rate: "");
  Serial.print(flowRate);
  Serial.println("" L/min"");
}

void countFlow() {
  flowCount++;
}"
RTC DS3231 Time Display,"#include <Wire.h>
#include <RTClib.h>

RTC_DS3231 rtc;

void setup() {
  Serial.begin(9600);
  rtc.begin();
}

void loop() {
  DateTime now = rtc.now();
  Serial.print(now.hour());
  Serial.print("":"");
  Serial.print(now.minute());
  Serial.print("":"");
  Serial.println(now.second());
  delay(1000);
}"
Sound Sensor LED Blink,"const int soundPin = A0;
const int ledPin = 13;

void setup() {
  pinMode(ledPin, OUTPUT);
  Serial.begin(9600);
}

void loop() {
  int soundVal = analogRead(soundPin);
  if (soundVal > 500) {
    digitalWrite(ledPin, HIGH);
    delay(100);
    digitalWrite(ledPin, LOW);
  }
  delay(200);
}"
GPS Module (Neo-6M),"#include <SoftwareSerial.h>

SoftwareSerial gpsSerial(4, 3); // RX, TX

void setup() {
  Serial.begin(9600);
  gpsSerial.begin(9600);
}

void loop() {
  while (gpsSerial.available()) {
    char c = gpsSerial.read();
    Serial.print(c);
  }
}"
LDR Sensor Street Light (Auto ON at Night),"const int ldrPin = A0;
const int ledPin = 9;

void setup() {
  pinMode(ledPin, OUTPUT);
}

void loop() {
  int ldrValue = analogRead(ldrPin);
  if (ldrValue < 500) {
    digitalWrite(ledPin, HIGH);
  } else {
    digitalWrite(ledPin, LOW);
  }
}"
DC Motor Control with L298N,"const int in1 = 8;
const int in2 = 9;

void setup() {
  pinMode(in1, OUTPUT);
  pinMode(in2, OUTPUT);
}

void loop() {
  digitalWrite(in1, HIGH);
  digitalWrite(in2, LOW);  // Forward
  delay(2000);
  digitalWrite(in1, LOW);
  digitalWrite(in2, HIGH); // Reverse
  delay(2000);
}"
RFID Door Lock System,"#include <SPI.h>
#include <MFRC522.h>

#define SS_PIN 10
#define RST_PIN 9
MFRC522 rfid(SS_PIN, RST_PIN);
const int relay = 8;

void setup() {
  Serial.begin(9600);
  SPI.begin();
  rfid.PCD_Init();
  pinMode(relay, OUTPUT);
}

void loop() {
  if (!rfid.PICC_IsNewCardPresent() || !rfid.PICC_ReadCardSerial()) return;

  String uid = """";
  for (byte i = 0; i < rfid.uid.size; i++) {
    uid += String(rfid.uid.uidByte[i], HEX);
  }
  Serial.println(uid);

  if (uid == ""12345678"") {  // Replace with your tag UID
    digitalWrite(relay, HIGH);
    delay(3000);
    digitalWrite(relay, LOW);
  }
  rfid.PICC_HaltA();
}"
Capacitive Soil Moisture Sensor,"const int sensorPin = A0;

void setup() {
  Serial.begin(9600);
}

void loop() {
  int moisture = analogRead(sensorPin);
  Serial.print(""Soil Moisture: "");
  Serial.println(moisture);
  delay(1000);
}"
DC Fan Control with Temperature (LM35 + Transistor),"const int tempPin = A0;
const int fanPin = 9;

void setup() {
  pinMode(fanPin, OUTPUT);
  Serial.begin(9600);
}

void loop() {
  int reading = analogRead(tempPin);
  float tempC = (reading * 5.0 * 100.0) / 1024.0;

  if (tempC > 30) {
    digitalWrite(fanPin, HIGH);
  } else {
    digitalWrite(fanPin, LOW);
  }

  Serial.print(""Temp: "");
  Serial.print(tempC);
  Serial.println("" C"");
  delay(1000);
}"
Flame Sensor Fire Alarm,"const int flamePin = A0;
const int buzzer = 9;

void setup() {
  pinMode(buzzer, OUTPUT);
  Serial.begin(9600);
}

void loop() {
  int value = analogRead(flamePin);
  if (value < 200) {
    tone(buzzer, 1000);
    Serial.println(""Flame Detected!"");
  } else {
    noTone(buzzer);
  }
  delay(500);
}"
RFID Tag Counter System,"#include <SPI.h>
#include <MFRC522.h>

#define SS_PIN 10
#define RST_PIN 9
MFRC522 mfrc522(SS_PIN, RST_PIN);
int count = 0;

void setup() {
  Serial.begin(9600);
  SPI.begin();
  mfrc522.PCD_Init();
}

void loop() {
  if (!mfrc522.PICC_IsNewCardPresent() || !mfrc522.PICC_ReadCardSerial()) return;

  count++;
  Serial.print(""RFID Count: "");
  Serial.println(count);
  delay(1000);
  mfrc522.PICC_HaltA();
}"
Servo Motor Control with Potentiometer,"#include <Servo.h>

Servo myServo;
const int potPin = A0;

void setup() {
  myServo.attach(9);
}

void loop() {
  int potValue = analogRead(potPin);
  int angle = map(potValue, 0, 1023, 0, 180);
  myServo.write(angle);
  delay(15);
}"
PIR Sensor with LED Strip,"const int pirPin = 2;
const int ledPin = 6;

void setup() {
  pinMode(pirPin, INPUT);
  pinMode(ledPin, OUTPUT);
}

void loop() {
  if (digitalRead(pirPin) == HIGH) {
    digitalWrite(ledPin, HIGH);
  } else {
    digitalWrite(ledPin, LOW);
  }
}"
Rain Alert System with Buzzer,"const int rainPin = A0;
const int buzzerPin = 8;

void setup() {
  pinMode(buzzerPin, OUTPUT);
  Serial.begin(9600);
}

void loop() {
  int rainVal = analogRead(rainPin);
  if (rainVal < 300) {
    tone(buzzerPin, 1000);
    Serial.println(""🌧 Rain Detected!"");
  } else {
    noTone(buzzerPin);
  }
  delay(1000);
}"
IR Obstacle Avoidance Sensor,"const int irPin = 7;
const int ledPin = 13;

void setup() {
  pinMode(irPin, INPUT);
  pinMode(ledPin, OUTPUT);
}

void loop() {
  if (digitalRead(irPin) == LOW) {
    digitalWrite(ledPin, HIGH);
  } else {
    digitalWrite(ledPin, LOW);
  }
}"
GSM Module Send SMS (SIM800L),"#include <SoftwareSerial.h>

SoftwareSerial gsm(7, 8); // RX, TX

void setup() {
  gsm.begin(9600);
  delay(1000);
  gsm.println(""AT+CMGF=1"");
  delay(1000);
  gsm.println(""AT+CMGS=\""+1234567890\""""); // Replace with your number
  delay(1000);
  gsm.print(""Hello from Arduino!"");
  delay(500);
  gsm.write(26); // Ctrl+Z
}

void loop() {}"
Arduino Morse Code Blinker,"const int ledPin = 13;

void setup() {
  pinMode(ledPin, OUTPUT);
}

void loop() {
  dot(); dot(); dot();
  delay(300);
  dash(); dash(); dash();
  delay(300);
  dot(); dot(); dot();
  delay(3000);
}

void dot() {
  digitalWrite(ledPin, HIGH);
  delay(250);
  digitalWrite(ledPin, LOW);
  delay(250);
}

void dash() {
  digitalWrite(ledPin, HIGH);
  delay(750);
  digitalWrite(ledPin, LOW);
  delay(250);
}"
Gas Sensor Alert System (MQ-135),"const int gasPin = A0;
const int buzzerPin = 9;

void setup() {
  pinMode(buzzerPin, OUTPUT);
  Serial.begin(9600);
}

void loop() {
  int gasValue = analogRead(gasPin);
  Serial.print(""Gas Level: "");
  Serial.println(gasValue);

  if (gasValue > 400) {
    tone(buzzerPin, 1000);
  } else {
    noTone(buzzerPin);
  }
  delay(1000);
}"
Bluetooth Controlled LED (HC-05),"#include <SoftwareSerial.h>
SoftwareSerial bt(2, 3); // RX, TX
const int led = 13;

void setup() {
  bt.begin(9600);
  pinMode(led, OUTPUT);
}

void loop() {
  if (bt.available()) {
    char cmd = bt.read();
    if (cmd == '1') digitalWrite(led, HIGH);
    if (cmd == '0') digitalWrite(led, LOW);
  }
}"
Touch Sensor Module (TTP223),"const int touchPin = 4;
const int ledPin = 13;

void setup() {
  pinMode(touchPin, INPUT);
  pinMode(ledPin, OUTPUT);
}

void loop() {
  if (digitalRead(touchPin) == HIGH) {
    digitalWrite(ledPin, HIGH);
  } else {
    digitalWrite(ledPin, LOW);
  }
}"
Real-Time Clock Alarm (DS1307 + Buzzer),"#include <Wire.h>
#include <RTClib.h>

RTC_DS1307 rtc;
const int buzzer = 8;

void setup() {
  Serial.begin(9600);
  rtc.begin();
  pinMode(buzzer, OUTPUT);
}

void loop() {
  DateTime now = rtc.now();
  if (now.hour() == 7 && now.minute() == 0) {
    tone(buzzer, 1000);
    delay(5000);
    noTone(buzzer);
  }
  delay(1000);
}"
Vibration Sensor Alarm System (SW-420),"const int vibPin = 2;
const int buzzer = 8;

void setup() {
  pinMode(vibPin, INPUT);
  pinMode(buzzer, OUTPUT);
  Serial.begin(9600);
}

void loop() {
  int state = digitalRead(vibPin);
  if (state == HIGH) {
    tone(buzzer, 1000);
    Serial.println(""Vibration Detected!"");
    delay(1000);
    noTone(buzzer);
  }
}"
Ultrasonic Distance Logger to Serial Monitor,"const int trigPin = 9;
const int echoPin = 10;

void setup() {
  pinMode(trigPin, OUTPUT);
  pinMode(echoPin, INPUT);
  Serial.begin(9600);
}

void loop() {
  digitalWrite(trigPin, LOW); delayMicroseconds(2);
  digitalWrite(trigPin, HIGH); delayMicroseconds(10);
  digitalWrite(trigPin, LOW);

  long duration = pulseIn(echoPin, HIGH);
  float distance = duration * 0.034 / 2;
  
  Serial.print(""Distance: "");
  Serial.print(distance);
  Serial.println("" cm"");
  delay(1000);
}"
Automatic Plant Watering System,"const int pump = 8;
const int soil = A0;

void setup() {
  pinMode(pump, OUTPUT);
  Serial.begin(9600);
}

void loop() {
  int moisture = analogRead(soil);
  Serial.print(""Moisture: "");
  Serial.println(moisture);

  if (moisture < 400) {
    digitalWrite(pump, HIGH);
    delay(2000);
    digitalWrite(pump, LOW);
  }
  delay(1000);
}"
Temperature Logger to SD Card,"#include <SD.h>
#include <SPI.h>

const int chipSelect = 4;
const int tempPin = A0;

void setup() {
  Serial.begin(9600);
  SD.begin(chipSelect);
}

void loop() {
  int val = analogRead(tempPin);
  float temp = val * 5.0 * 100 / 1024.0;
  
  File dataFile = SD.open(""datalog.txt"", FILE_WRITE);
  if (dataFile) {
    dataFile.println(temp);
    dataFile.close();
  }
  delay(2000);
}"
Relay Control via Push Button,"const int button = 2;
const int relay = 7;
bool state = false;

void setup() {
  pinMode(button, INPUT_PULLUP);
  pinMode(relay, OUTPUT);
}

void loop() {
  if (digitalRead(button) == LOW) {
    state = !state;
    digitalWrite(relay, state);
    delay(500);
  }
}"
Air Quality Monitoring (MQ-135 + OLED Display),"#include <Wire.h>
#include <Adafruit_SSD1306.h>

#define SCREEN_WIDTH 128
#define SCREEN_HEIGHT 64
Adafruit_SSD1306 display(SCREEN_WIDTH, SCREEN_HEIGHT, &Wire, -1);

const int airPin = A0;

void setup() {
  display.begin(SSD1306_SWITCHCAPVCC, 0x3C);
  display.clearDisplay();
  display.setTextSize(1);
  display.setTextColor(SSD1306_WHITE);
}

void loop() {
  int airQuality = analogRead(airPin);

  display.clearDisplay();
  display.setCursor(0, 0);
  display.print(""Air Quality: "");
  display.println(airQuality);
  display.display();
  delay(1000);
}"
Stepper Motor Control (28BYJ-48 + ULN2003),"#include <Stepper.h>

const int stepsPerRevolution = 2048;
Stepper myStepper(stepsPerRevolution, 8, 10, 9, 11);

void setup() {
  myStepper.setSpeed(15);
}

void loop() {
  myStepper.step(stepsPerRevolution);
  delay(1000);
  myStepper.step(-stepsPerRevolution);
  delay(1000);
}"
Hall Effect Sensor (Magnetic Field Detection),"const int hallPin = 2;
const int ledPin = 13;

void setup() {
  pinMode(hallPin, INPUT);
  pinMode(ledPin, OUTPUT);
}

void loop() {
  int state = digitalRead(hallPin);
  digitalWrite(ledPin, state);
}"
Motor Driver (L298N) with Joystick,"const int in1 = 9;
const int in2 = 8;
const int joyY = A0;

void setup() {
  pinMode(in1, OUTPUT);
  pinMode(in2, OUTPUT);
}

void loop() {
  int y = analogRead(joyY);
  if (y > 700) {
    digitalWrite(in1, HIGH);
    digitalWrite(in2, LOW);
  } else if (y < 300) {
    digitalWrite(in1, LOW);
    digitalWrite(in2, HIGH);
  } else {
    digitalWrite(in1, LOW);
    digitalWrite(in2, LOW);
  }
}"
LED Brightness Control with LDR,"const int ldrPin = A0;
const int ledPin = 9;

void setup() {
  pinMode(ledPin, OUTPUT);
}

void loop() {
  int ldrValue = analogRead(ldrPin);
  int brightness = map(ldrValue, 0, 1023, 255, 0);
  analogWrite(ledPin, brightness);
  delay(100);
}"
